fid,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,name_2,trip_category
78,"12653995622",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
79,"12653995614",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
80,"3688282750",Locomobil,,,,,,,,"""historic""=>""technical_monument"",""image""=>""https://www.flickr.com/photos/33766294@N03/20242735290/""",Il-Birgu,Others
81,"5250351148",,,,,,,,,"""amenity""=>""recycling"",""recycling_type""=>""container""",Il-Birgu,Others
82,"11221766417",,,,,,,,tower,"""tower:type""=>""bell_tower"",""wikimedia_commons""=>""File:Public clock (37875334421).jpg""",Il-Birgu,Others
86,"5250351147",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
88,"5250351149",,bollard,,,,,,,"""bollard""=>""fixed""",Il-Birgu,Others
91,"5235295847",,bollard,,,,,,,,Il-Birgu,Others
93,"246586117",,,,,,,,,"""kerb""=>""no""",Il-Birgu,Others
94,"12653995623",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
95,"12653995624",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
96,"12653995625",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
97,"12655169958",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
98,"12655169959",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
100,"11591804541",,,,,,,,,"""amenity""=>""waste_basket""",Il-Birgu,Others
102,"12647024780",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
103,"12647024779",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
104,"7139358560",,,crossing,,,,,,"""crossing""=>""zebra"",""crossing:island""=>""no""",Il-Birgu,Others
107,"7139234092",,,,,,,,,"""amenity""=>""recycling"",""operator""=>""ReFab"",""recycling:beverage_cartons""=>""no"",""recycling:cans""=>""yes"",""recycling:glass_bottles""=>""yes"",""recycling:plastic""=>""no"",""recycling:plastic_bottles""=>""yes"",""recycling:plastic_packaging""=>""no"",""recycling_type""=>""container""",Il-Birgu,Others
109,"2803604226",,,,"166",,,,,"""amenity""=>""post_box"",""check_date""=>""2025-02-21"",""collection_times""=>""Mo-Sa 7:00"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""post_box:type""=>""wall"",""website""=>""https://www.maltapost.com""",Il-Birgu,Others
110,"11591832353",,,,,,,,,"""historic""=>""memorial"",""inscription:en""=>""1758-1843 Fabricius Cardinal Sceberras Testaferrata was born in this house."",""memorial""=>""plaque""",Il-Birgu,Others
111,"11591834849",Sottozero,,,,,,,,"""addr:housenumber""=>""95"",""addr:street""=>""Triq San Lawrenz"",""amenity""=>""ice_cream"",""opening_hours""=>""Mo-Su 07:00-01:00"",""outdoor_seating""=>""yes"",""phone""=>""+35627690090"",""smoking""=>""outside"",""website""=>""https://sottozerofactory.com/""",Il-Birgu,Others
112,"9913815171",,,,,,,,,"""attraction""=>""train""",Il-Birgu,Others
113,"12647024748",,,,,,,,flagpole,,Il-Birgu,Others
114,"3363135396",31st March 1979 - Freedom Day,,,,,,,,"""historic""=>""monument""",Il-Birgu,Others
115,"11591850631",,,,,,,,guard_stone,,Il-Birgu,Others
116,"2803604219",Water Taxi,,,,,,,,"""amenity""=>""ferry_terminal"",""cargo""=>""passengers"",""ferry""=>""yes"",""public_transport""=>""station"",""wheelchair""=>""no""",Il-Birgu,Others
118,"11591825367",,,,,,,,,"""boot_scraper""=>""both"",""entrance""=>""no""",Il-Birgu,Others
119,"1497538838",,,,,,,,,"""amenity""=>""ferry_terminal"",""ferry""=>""yes"",""public_transport""=>""station"",""wheelchair""=>""no""",Il-Birgu,Others
120,"2803604218",Vittoriosa near Gate,,,VTTR004,,,,,"""operator""=>""Enemalta"",""operator:wikidata""=>""Q1341101"",""operator:wikipedia""=>""en:Enemalta"",""power""=>""substation""",Il-Birgu,Others
121,"3805039677",,,,,,,,,"""leaf_type""=>""broadleaved"",""natural""=>""tree""",Il-Birgu,Others
122,"690896516",,,,,,,,,"""foot""=>""yes"",""motor_vehicle""=>""private""",Il-Birgu,Others
123,"3805039670",,,,,,,,,"""leaf_type""=>""broadleaved"",""natural""=>""tree""",Il-Birgu,Others
124,"11591821587",,,,,,,,,"""boot_scraper""=>""both"",""entrance""=>""main""",Il-Birgu,Others
125,"3805038252",,,,,,,,,"""leaf_type""=>""broadleaved"",""natural""=>""tree""",Il-Birgu,Others
126,"4506010690",,,,,,,,,"""operator""=>""Enemalta"",""operator:wikidata""=>""Q1341101"",""operator:wikipedia""=>""en:Enemalta"",""power""=>""substation"",""substation""=>""minor_distribution""",Il-Birgu,Others
128,"12649143210",Oratory of the Holy Cross,,,,,,,,"""amenity""=>""place_of_worship"",""religion""=>""christian""",Il-Birgu,Others
129,"12653995626",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
130,"12653995627",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
131,"12653995628",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
132,"12653995629",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
133,"12653995630",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
134,"12653995631",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others
135,"6705430040",,,,,,,,,"""amenity""=>""fountain""",Il-Birgu,Others
136,"1982621644",Il-Birgu - Riche,,bus_stop,"1347",,,,,"""bench""=>""yes"",""bin""=>""yes"",""bus""=>""yes"",""departures_board""=>""timetable"",""lit""=>""no"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""shelter""=>""yes"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
137,"3838472005",,gate,,,,,,,,Il-Birgu,Others
138,"1276538769",,gate,,,,,,,,Il-Birgu,Others
140,"3363135471",,,crossing,,,,,,"""crossing""=>""marked"",""crossing:island""=>""no"",""crossing:markings""=>""yes"",""kerb""=>""raised""",Il-Birgu,Others
141,"1513452539",Couvre de Porte,,,,,,,,"""historic""=>""castle""",Il-Birgu,Others
143,"3680870159",,,crossing,,,,,,"""button_operated""=>""yes"",""crossing""=>""traffic_signals"",""crossing:island""=>""no"",""kerb""=>""lowered""",Il-Birgu,Others
144,"5046311958",Il-Birgu - Żejt,,bus_stop,"6213",,,,,"""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
145,"5202190973",,,,,,,,,"""amenity""=>""recycling"",""recycling_type""=>""container""",Il-Birgu,Others
146,"293526086",,gate,,,,,,,,Il-Birgu,Others
147,"4884513421",,,,,,,,,"""amenity""=>""toilets"",""fee""=>""no"",""wheelchair""=>""yes""",Il-Birgu,Others
148,"293526088",,gate,,,,,,,,Il-Birgu,Others
149,"3767419866",Il-Birgu - Fortini,,bus_stop,"1387",,,,,"""bench""=>""yes"",""bin""=>""yes"",""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""shelter""=>""yes"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
150,"293526090",Gate du Provence,gate,,,,,,,,Il-Birgu,Others
151,"5041822393",,,crossing,,,,,,"""crossing""=>""uncontrolled"",""crossing:markings""=>""yes""",Il-Birgu,Others
152,"5039194582",Il-Birgu - Fortini,,bus_stop,"1353",,,,,"""bench""=>""no"",""bin""=>""no"",""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""shelter""=>""no"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
154,"5202190970",,bollard,,,,,,,,Il-Birgu,Others
157,"5245619170",,,,,,,,,"""amenity""=>""post_box"",""collection_times""=>""Mo-Fr 07:00; Sa 07:00"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""royal_cypher""=>""EVIIR"",""website""=>""https://www.maltapost.com""",Il-Birgu,Others
159,"11916106729",,,crossing,,,,,,"""crossing""=>""uncontrolled"",""crossing:island""=>""no"",""crossing:markings""=>""yes"",""kerb""=>""lowered""",Il-Birgu,Others
160,"11916167847",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others
161,"11916167848",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others
162,"11916167849",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others
163,"11916167850",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others
164,"11916167851",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others
165,"11916167852",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others
166,"12651726197",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
170,"13207221936",Torri ta San Gwann,,,,,,,tower,"""tower:type""=>""defensive""",Il-Birgu,Others
171,"13207221937",Birgu Scouts,,,,,,,,"""club""=>""scout""",Il-Birgu,Others
174,"12649595750",Chapel of Our Lady of Damascus,,,,,,,,"""amenity""=>""place_of_worship"",""religion""=>""christian""",Il-Birgu,Others
176,"293534850",,,,,,,,,"""historic""=>""monument"",""survey_point""=>""suppl""",Il-Birgu,Others
177,"8750238712",,,,,,,,,"""amenity""=>""atm"",""brand""=>""BOV"",""check_date""=>""2025-10-31"",""level""=>""0"",""opening_hours""=>""24/7"",""operator""=>""BOV"",""wheelchair""=>""yes""",Il-Birgu,Others
178,"12459274235",,,,,,,,,"""amenity""=>""letter_box""",Il-Birgu,Others
181,"4563383542",Il-Birgu - Birgu Centre,,bus_stop,"6200",,,,,"""bench""=>""yes"",""bin""=>""yes"",""bus""=>""yes"",""departures_board""=>""timetable"",""lit""=>""no"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""shelter""=>""no"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
182,"6283121887",Euronet,,,,,,,,"""amenity""=>""atm"",""brand""=>""Euronet"",""brand:wikidata""=>""Q5412010"",""brand:wikipedia""=>""en:Euronet Worldwide"",""opening_hours""=>""24/7"",""operator""=>""Euronet"",""operator:wikidata""=>""Q5412010"",""operator:wikipedia""=>""en:Euronet Worldwide""",Il-Birgu,Others
183,"5202190986",,,,,,,,,"""amenity""=>""telephone""",Il-Birgu,Others
184,"2803604216",Pulizija Vittoriosa,,,,,,,,"""amenity""=>""police"",""name:it""=>""Polizia"",""operator""=>""Pulizija ta' Malta"",""operator:wikidata""=>""Q2413538"",""operator:wikipedia""=>""en:Malta Police Force""",Il-Birgu,Others
185,"11591853844",,,,,,,,guard_stone,,Il-Birgu,Others
186,"11591832352",,,,,,,,guard_stone,,Il-Birgu,Others
188,"11591811214",,,,,,,,guard_stone,,Il-Birgu,Others
189,"11591847575",,,,,,,,guard_stone,,Il-Birgu,Others
190,"2803604217",Vittoriosa Desain,,,VTTR001,,,,,"""operator""=>""Enemalta"",""operator:wikidata""=>""Q1341101"",""operator:wikipedia""=>""en:Enemalta"",""power""=>""transformer""",Il-Birgu,Others
201,"4054101370",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
205,"5245619176",,,crossing,,,,,,"""crossing""=>""zebra""",Il-Birgu,Others
206,"5590784922",Auberge d’Auvergne et de Provence,,,,,,,,"""historic""=>""monument"",""name:fr""=>""Auberge d’Auvergne et de Provence"",""wikidata""=>""Q16252175"",""wikimedia_commons""=>""Category:Auberge d'Auvergne et Provence (Birgu)"",""wikipedia""=>""en:Auberge d'Auvergne et Provence""",Il-Birgu,Others
208,"12116504165",,bollard,,,,,,,"""bollard""=>""removable""",Il-Birgu,Others
209,"5590796921",,,,,,,,,"""historic""=>""monument"",""name:fr""=>""Auberge d’Angleterre"",""wikidata""=>""Q16252165"",""wikimedia_commons""=>""Category:Auberge d'Angleterre (Birgu)"",""wikipedia""=>""en:Auberge d'Angleterre""",Il-Birgu,Others
211,"5590784923",,,,,,,,,"""historic""=>""memorial"",""name:fr""=>""Auberge de France"",""subject:wikidata""=>""Q16962910"",""subject:wikipedia""=>""http://en.wikipedia.org/wiki/Auberge de France, Birgu"",""wikimedia_commons""=>""Category:Auberge de France (Birgu)""",Il-Birgu,Others
215,"11592055567",,,,,,,,,"""entrance""=>""yes""",Il-Birgu,Others
217,"11592055566",,,,,,,,,"""entrance""=>""yes""",Il-Birgu,Others
220,"5590796821",Auberge de Castille et Portugal,,,,,,,,"""historic""=>""monument"",""name:fr""=>""Auberge de Castille et Portugal"",""wikidata""=>""Q16252180"",""wikipedia""=>""en:Auberge de Castille et Portugal""",Il-Birgu,Others
221,"5245619171",,bollard,,,,,,,"""bollard""=>""fixed""",Il-Birgu,Others
222,"2522930881",Il-Birgu,,,,,,town,,"""alt_name""=>""Vittoriosa;Città Vittoriosa"",""name:ar""=>""بيرجو"",""name:en""=>""Birgu"",""name:it""=>""Vittoriosa"",""name:ko""=>""비르구"",""name:uk""=>""Біргу"",""population""=>""2629"",""wikidata""=>""Q752346"",""wikimedia_commons""=>""Category:Birgu"",""wikipedia""=>""en:Birgu""",Il-Birgu,Others
223,"246586387",,,,,,,,,"""noexit""=>""yes""",Il-Birgu,Others
224,"1276539021",,bollard,,,,,,,"""bicycle""=>""yes"",""foot""=>""yes""",Il-Birgu,Others
225,"1513473056",Bastion Castille,,,,,,,,"""historic""=>""castle""",Il-Birgu,Others
226,"10018287162",,,,,,,,,"""defensive_works""=>""hornwork"",""direction""=>""NE"",""wikimedia_commons""=>""File:Nicpmi-01514-1-birgu fortifications hornwork of the post of castile.jpg""",Il-Birgu,Others
227,"5255279997",,gate,,,,,,,,Il-Birgu,Others
228,"690903046",,,crossing,,,,,,"""crossing""=>""uncontrolled"",""crossing:markings""=>""yes""",Il-Birgu,Others
229,"12651726198",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
230,"12651726199",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
231,"12651726200",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
232,"12651728301",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
233,"12651728302",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
234,"12651728303",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
235,"12651728304",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
236,"12651728305",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
237,"12651728306",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
238,"12651728307",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
240,"12660930200",Annunciation Church,,,,,,,,"""amenity""=>""place_of_worship"",""religion""=>""christian""",Il-Birgu,Others
242,"11806559030",Marker,,,,,,,,,Il-Birgu,Others
243,"5046359810",Il-Birgu - Salle,,bus_stop,"3522",,,,,"""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
244,"1667367829",,gate,,,,,,,,Il-Birgu,Others
245,"1737943947",Il-Birgu - Salle,,bus_stop,"2256",,,,,"""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
246,"1460229800",,,,,,,,,"""amenity""=>""parking"",""parking""=>""street_side""",Il-Birgu,Others
247,"11418685548",,,stop,,,,,,,Il-Birgu,Others
248,"11418685549",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others
249,"11418685550",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others
250,"151167564",,,mini_roundabout,,,,,,"""direction""=>""clockwise""",Il-Birgu,Others
251,"6833892296",Forti San Salvatore,,,,,,,,"""historic""=>""fort"",""name:ar""=>""حصن سان سالفاتوري"",""name:en""=>""Fort San Salvatore"",""name:mt""=>""Forti San Salvatore"",""wikidata""=>""Q20667115"",""wikimedia_commons""=>""Category:Fort San Salvatore"",""wikipedia""=>""en:Fort San Salvatore""",Il-Birgu,Others
252,"9067857899",,entrance,,,,,,,,Il-Birgu,Others
254,"11591821585",,,,"167",,,,,"""amenity""=>""post_box"",""collection_times""=>""Mo-Sa 7:00"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""post_box:type""=>""wall"",""website""=>""https://www.maltapost.com""",Il-Birgu,Others
255,"3514054132",Wesgha Mattia Preti,,,,,,locality,,,Il-Birgu,Others
256,"11591819592",,,,"169",,,,,"""amenity""=>""post_box"",""collection_times""=>""Mo-Sa 7:00"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""post_box:type""=>""lamp"",""website""=>""https://www.maltapost.com""",Il-Birgu,Others
257,"5039194571",Il-Birgu - Ħawli,,bus_stop,"2259",,,,,"""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
258,"7536210553",,,,,,,,,"""amenity""=>""charging_station"",""capacity""=>""2""",Il-Birgu,Others
259,"5046359811",Il-Birgu - Ħawli,,bus_stop,"3520",,,,,"""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
260,"11591853329",,,,,,,,,"""amenity""=>""post_box"",""collection_times""=>""Mo-Sa 7:00"",""manufacturer""=>""W.T. Allen & Co. Ltd London"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""post_box:type""=>""wall"",""royal_cypher""=>""EIIR"",""website""=>""https://www.maltapost.com""",Il-Birgu,Others
261,"5276932668",,gate,,,,,,,,Il-Birgu,Others
262,"5276932656",,,,,,,,,"""amenity""=>""recycling"",""recycling_type""=>""container""",Il-Birgu,Others
263,"1618047538",,,crossing,,,,,,"""crossing""=>""uncontrolled"",""crossing:markings""=>""yes""",Il-Birgu,Others
264,"4086084499",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
265,"4086084495",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
266,"4086084498",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
267,"4086084497",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
268,"4086084496",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
269,"4086084494",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
270,"4086084493",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
271,"4086084492",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
272,"5276932642",,,,,,,,,"""amenity""=>""recycling"",""recycling_type""=>""container""",Il-Birgu,Others
274,"4086084087",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
275,"5039194572",Il-Birgu - Genuis,,bus_stop,"3521",,,,,"""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
276,"4086084086",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
277,"4086084088",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
278,"4086084489",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
279,"4086084490",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
280,"4086084491",,,,,,,,,"""natural""=>""tree""",Il-Birgu,Others
282,"13269843671",,,crossing,,,,,,"""crossing""=>""uncontrolled"",""crossing:markings""=>""yes""",Il-Birgu,Others
283,"5039194570",Il-Birgu - Sultan,,bus_stop,"2260",,,,,"""bench""=>""yes"",""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""shelter""=>""yes"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
284,"11418685539",,,crossing,,,,,,"""crossing""=>""traffic_signals""",Il-Birgu,Others
285,"11418685538",,,street_lamp,,,,,,,Il-Birgu,Others
286,"2536991602",,gate,,,,,,,"""access""=>""permissive""",Il-Birgu,Others
287,"5039194573",Il-Birgu - Genuis,,bus_stop,"2258",,,,,"""bus""=>""yes"",""departures_board""=>""timetable"",""network""=>""Malta Public Transport"",""operator""=>""Malta Public Transport"",""public_transport""=>""platform"",""website""=>""https://www.publictransport.com.mt/""",Il-Birgu,Others
288,"1633018877",,,crossing,,,,,,"""crossing""=>""uncontrolled"",""crossing:markings""=>""yes""",Il-Birgu,Others
289,"11418685532",,,street_lamp,,,,,,,Il-Birgu,Others
290,"11418685530",,gate,,,,,,,,Il-Birgu,Others
291,"11591836738",,,,,,,,water_well,"""drinking_water""=>""no"",""pump""=>""no""",Il-Birgu,Others
292,"3363135646",,gate,,,,,,,,Il-Birgu,Others
293,"11591804539",,gate,,,,,,,"""locked""=>""yes""",Il-Birgu,Others
294,"11591851935",Thomas McSweeney,,,,,,,,"""historic""=>""memorial"",""inscription""=>""SACRED TO THE MEMORY OF THOMAS MCSWEENEY EXECUTED ON H.M.S. RODNEY 8TH JUNE 1837 AGED 23 YEARS."",""memorial""=>""plaque"",""wikimedia_commons""=>""Category:Thomas McSweeney's Grave, Birgu""",Il-Birgu,Others
