fid,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,name_2,keep_for_od,trip_category
1,"5638864",,,multipolygon,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
2,"5640244",,,multipolygon,,,,,,,,,,,,track,,,,,,,running,,,Il-Birgu,Yes,Recreation
6,"17951635",,,multipolygon,,,,,,,,,,,,track,,,,,,,running,,,Il-Birgu,Yes,Visiting Someone
7,"18475177",,,multipolygon,,,,,,,,,,,,,,,,,,,,,"""highway""=>""pedestrian"",""surface""=>""paving_stones""",Il-Birgu,Yes,Others
10,"18786867",,,multipolygon,,,,,,roof,,,,,,,,,,,,,,,"""layer""=>""1""",Il-Birgu,Yes,Others
13,"18806756",,,multipolygon,,,,,,residential,,,,,,,,,,,,,,,"""building:levels""=>""4""",Il-Birgu,Yes,Recreation
16,"18810509",,,multipolygon,,,,,,,,,,,,,,,,,,,,,"""building:levels""=>""1"",""building:part""=>""yes""",Il-Birgu,Yes,Others
18,"18813089",,,multipolygon,,,,,,residential,,,,,,,,,,,,,,,"""building:levels""=>""5""",Il-Birgu,Yes,Others
19,"18813090",,,multipolygon,,,,,,residential,,,,,,,,,,,,,,,"""building:levels""=>""4""",Il-Birgu,Yes,Recreation
20,"18813091",,Palace of the Captains of the Galleys,multipolygon,,,,,,apartments,,,,,,,,,,,,,,,"""height""=>""11"",""source:height""=>""estimated""",Il-Birgu,Yes,Others
31,,"54896163",Vittoriosa Waterfront,,,,,,,,,,,,,,,,,,locality,,,,,Il-Birgu,Yes,Others
32,,"92243091",De La Salle College,,,school,,,,,,,,,,,,,,,,,,,"""start_date""=>""1903"",""wikidata""=>""Q5244513"",""wikipedia""=>""en:De La Salle College (Malta)""",Il-Birgu,Yes,Visiting Someone
33,,"92243455",Fortini,,,,,,,,,,,,,pitch,,,,,,,soccer,,"""wikidata""=>""Q5472661"",""wikipedia""=>""en:Fortini Ground""",Il-Birgu,Yes,Others
34,,"112265680",,,,,,,,,,,,,,,,,,,,,,viewpoint,,Il-Birgu,Yes,Others
35,,"136730135",Collegiate Church of Saint Lawrence,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""10"",""name:ar""=>""كنيسة سانت لورانس الجماعية"",""religion""=>""christian"",""source:height""=>""estimated"",""start_date""=>""1681"",""wikidata""=>""Q7589469"",""wikimedia_commons""=>""Category:St. Lawrence's Church, Birgu"",""wikipedia""=>""en:Collegiate Church of Saint Lawrence, Vittoriosa""",Il-Birgu,Yes,Education
36,,"136730138",Kunvent Dumnikan tal-Lunzjata,,,,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""10"",""source:height""=>""estimated""",Il-Birgu,Yes,Others
38,,"136730142",,,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
39,,"136730148",Pjazza tal-Belt Vittoriosa,,,,,,,,,,,,,,,,,,square,,,,"""lit""=>""yes"",""surface""=>""asphalt""",Il-Birgu,Yes,Others
40,,"136730149",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Others
41,,"139164427",St Philip Church,,,,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""9"",""source:height""=>""estimated""",Il-Birgu,Yes,Others
42,,"139164448",,,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
43,,"139164481",Church of St. Anne,,,place_of_worship,,,,chapel,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""religion""=>""christian""",Il-Birgu,Yes,Recreation
44,,"139164510",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
45,,"148736552",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation
46,,"148736556",,,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
48,,"148736563",,,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
49,,"150382583",,,,,,,,,,,,,,pitch,,,,,,,soccer,,"""surface""=>""artificial_turf""",Il-Birgu,Yes,Recreation
51,,"150382591",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Others
52,,"152120280",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
55,,"240871554",Mużew Marittimu ta' Malta,,,,,,,yes,,,,,,,,,,,,,,museum,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housename""=>""Ex-Naval Bakery"",""addr:postcode""=>""BRG 1721"",""image""=>""https://photos.app.goo.gl/FwBEbJhnqBHo86QA9"",""museum""=>""history"",""name:en""=>""Malta Maritime Museum"",""name:mt""=>""Mużew Marittimu ta' Malta"",""name:pl""=>""Malta Muzeum Morskie"",""opening_hours""=>""Mo-Su 09:00-17:00"",""phone""=>""+356 2166 0052"",""website""=>""https://www.heritagemalta.org/museums/maritime/maritimeinfo.html"",""wikidata""=>""Q3013993"",""wikimedia_commons""=>""Category:Malta Maritime Museum"",""wikipedia""=>""en:Malta Maritime Museum""",Il-Birgu,Yes,Recreation
69,,"329831645",Bieb is-Sultan,,,,,,,yes,,,city_gate,,,,,,,,,,,,"""alt_name""=>""Notre Dame Gate"",""historic:civilization""=>""knights_st_john""",Il-Birgu,Yes,Others
71,,"331672297",,,,,,,,residential,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
72,,"344654719",,,,,,,,,,,,,meadow,,,,,,,,,,,Il-Birgu,Yes,Others
73,,"344654720",,,,,,,,,,,,,meadow,,,,,,,,,,,Il-Birgu,Yes,Visiting Someone
74,,"344654726",Skola Primarja Birgu,,,school,,,,,,,,,,,,,,,,,,,"""college""=>""Santa Margerita"",""education""=>""primary"",""grades""=>""1-6"",""operator""=>""Gvern ta' Malta"",""operator:type""=>""government"",""operator:wikidata""=>""Q5589242""",Il-Birgu,Yes,Visiting Someone
75,,"345212952",Post is-Sagra Infermerija,,,,,,,,,,,,,,,,,,square,,,,"""surface""=>""asphalt""",Il-Birgu,Yes,Visiting Someone
76,,"345212962",Pjazzetta San Filippu,,,,,,,,,,,,,,,,,,square,,,,,Il-Birgu,Yes,Visiting Someone
77,,"345212966",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
78,,"345212969",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""no"",""lit""=>""yes"",""parking""=>""surface"",""surface""=>""paving_stones""",Il-Birgu,Yes,Others
80,,"375347415",,,,,,,,,,,,,farmyard,,,,,,,,,,,Il-Birgu,Yes,Others
81,,"375347417",,,,,,,,,,,,,,,,,,,,,,,"""highway""=>""service""",Il-Birgu,Yes,Others
82,,"377135237",,,,,,,,,,,,,,,,,wood,,,,,,,Il-Birgu,Yes,Education
85,,"378312513",,,,,,,,,,,,,,pitch,,,,,,,soccer,,"""surface""=>""grass""",Il-Birgu,Yes,Others
86,,"378312519",,,,,,,,sports_hall,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
94,,"397967721",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Others
100,,"406552271",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
103,,"409770025",,,,,,,,chapel,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
119,,"541398989",,,,,,,,,,,,,,,,,,,,,,,"""path""=>""sidewalk""",Il-Birgu,Yes,Recreation
120,,"541398998",,,,,,,,,,,,,,pitch,,,,,,,boules,,,Il-Birgu,Yes,Others
122,,"542577308",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Recreation
123,,"542577310",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""no"",""parking""=>""surface"",""surface""=>""paving_stones""",Il-Birgu,Yes,Others
124,,"546010330",,,,,,,,,,,,,,,,,,,,,,,"""highway""=>""pedestrian"",""path""=>""pavement""",Il-Birgu,Yes,Others
125,,"546010333",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
126,,"550456709",,,,,,,,,,,,,,park,,,,,,,,,,Il-Birgu,Yes,Others
127,,"550456710",,,,,,,,,,,,,,park,,,,,,,,,"""wheelchair""=>""yes""",Il-Birgu,Yes,Others
128,,"550456711",,,,,,,,,,,,,,park,,,,,,,,,,Il-Birgu,Yes,Recreation
130,,"595862651",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation
133,,"669633425",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""customers"",""fee""=>""no"",""parking""=>""surface""",Il-Birgu,Yes,Recreation
135,,"713318147",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
136,,"713318148",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
137,,"713318154",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation
138,,"729462616",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""surface""=>""tartan""",Il-Birgu,Yes,Others
139,,"730151321",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Il-Birgu,Yes,Others
150,,"730153735",,,,,,,,residential,,,,,,,,,,,,,,,"""building:levels""=>""4""",Il-Birgu,Yes,Recreation
165,,"730157082",,,,,,,,church,,,,,,,,,,,,,,,"""height""=>""4"",""source:height""=>""estimated""",Il-Birgu,Yes,Others
189,,"730160774",,,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""4"",""roof:levels""=>""1""",Il-Birgu,Yes,Others
190,,"730160775",,,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""4"",""roof:levels""=>""0""",Il-Birgu,Yes,Others
191,,"730160776",,,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""3""",Il-Birgu,Yes,Others
192,,"730160777",,,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""3""",Il-Birgu,Yes,Recreation
193,,"730160778",,,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""2""",Il-Birgu,Yes,Recreation
194,,"730160779",,,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""3""",Il-Birgu,Yes,Recreation
212,,"730163511",,,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""4"",""nohousenumber""=>""yes""",Il-Birgu,Yes,Others
219,,"730176223",,,,,,,,residential,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
220,,"730176224",,,,,,,,residential,,,,,,,,,,,,,,,,Il-Birgu,Yes,Recreation
221,,"730176225",,,,,,,,residential,,,,,,,,,,,,,,,,Il-Birgu,Yes,Recreation
222,,"730176226",,,,,,,,residential,,,,,,,,,,,,,,,,Il-Birgu,Yes,Personal Errands
223,,"805229638",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Recreation
224,,"805894397",,,,parking_space,,,,,,,,,,,,,,,,,,,"""capacity""=>""1"",""capacity:charging""=>""2""",Il-Birgu,Yes,Recreation
225,,"883725588",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""no"",""parking""=>""surface"",""surface""=>""asphalt""",Il-Birgu,Yes,Others
226,,"903946110",Knisja tal-Madonna tal-karmnu,,,,,,,church,,,,,,,,,,,,,,,"""building:levels""=>""3"",""denomination""=>""roman_catholic""",Il-Birgu,Yes,Recreation
227,,"907344138",Il-Bieb tas-Salvatur,,,,,,,yes,,,city_gate,,,,,,,,,,,,"""layer""=>""1"",""start_date""=>""1722""",Il-Birgu,Yes,Others
232,,"908309142",Fortini Learning Support Centre,,,school,,,,,,,,,,,,,,,,,,,"""college""=>""Santa Margerita"",""education_level""=>""secondary"",""operator""=>""Gvern ta' Malta"",""operator:type""=>""government"",""operator:wikidata""=>""Q5589242""",Il-Birgu,Yes,Others
233,,"986621929",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Recreation
234,,"986621931",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Recreation
235,,"1011487446",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Recreation
236,,"1011487447",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Recreation
237,,"1112873641",,,,,,,,,,,,,,playground,,,,,,,,,"""access""=>""yes"",""min_age""=>""0""",Il-Birgu,Yes,Commuting to work
238,,"1155067270",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Education
239,,"1160887073",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Recreation
240,,"1167682184",Saint Edward's College,,,school,,,,,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""operator:type""=>""private"",""religion""=>""christian"",""wikidata""=>""Q17021058"",""wikimedia_commons""=>""Category:St. Edward's College (Malta)"",""wikipedia""=>""en:St Edward's College, Malta""",Il-Birgu,Yes,Others
264,,"1246898828",The Norman House,,,,,,,house,,,house,,,,,,,,,,,museum,"""addr:housenumber""=>""9"",""alt_name""=>""The Norman House (North Street)"",""building:levels""=>""2"",""heritage""=>""yes"",""museum""=>""local"",""name:fr""=>""Maison Normande"",""name:mt""=>""Id-Dar Normanna (Triq it-Tramuntata)"",""opening_hours""=>""Mo-Su 08:30-17:00"",""wheelchair""=>""no""",Il-Birgu,Yes,Recreation
266,,"1246903999",Kunsill Lokali Birgu,,,,,,,public,,,,,,,,,,government,,,,,"""addr:housename""=>""Auberge de France"",""opening_hours""=>""Mo-Fr 8:00-12:30,13:15-16:45; Sa 8:00-12:00""",Il-Birgu,Yes,Recreation
267,,"1246904000",Lawrence of Rome,,,,,,,,,,,,,,,,,,,,,artwork,"""artwork_subject""=>""religious"",""artwork_type""=>""sculpture"",""name:mt""=>""San Lawrenz"",""subject:wikidata""=>""Q17590"",""subject:wikipedia""=>""en:Saint Lawrence""",Il-Birgu,Yes,Others
268,,"1246908375",IBB Hotel Palazzo Bettina,,,,,,,hotel,,,,,,,,,,,,,,,"""addr:housename""=>""Il-Palazz ta' Bettina"",""addr:housenumber""=>""3"",""addr:street""=>""Triq San Gorġ"",""building:levels""=>""3"",""heritage""=>""yes""",Il-Birgu,Yes,Commuting to work
269,,"1246972247",,,,marketplace,,,,,,,,,,,,,,,,,,,"""sells""=>""fruit;vegetables;fish;clothes;shoes""",Il-Birgu,Yes,Others
271,,"1271379854",,,,,,,,,,,,,,,,,,,,,,,"""traffic_calming""=>""choker""",Il-Birgu,Yes,Recreation
272,,"1271379855",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
273,,"1271379856",,,,,,,,,,,,,,,,,,,,,,,"""traffic_calming""=>""choker""",Il-Birgu,Yes,Others
274,,"1271430947",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
276,,"1284429749",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
277,,"1284430940",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
278,,"1284430941",,,,,,,,,,,,,,,,,,,,,,,"""highway""=>""pedestrian""",Il-Birgu,Yes,Others
279,,"1284430942",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
280,,"1308856819",,,,,,,,,,,,,,track,,,,,,,running,,,Il-Birgu,Yes,Others
281,,"1346443412",Birgu Ditch Gardens,,,,,,,,,,,,,park,,,,,,,,,,Il-Birgu,Yes,Others
282,,"1346922242",Wesgħet il-Kolleġġjata 1820,,,,,,,,,,,,,,,,,,,,,,"""highway""=>""pedestrian"",""lit""=>""yes"",""surface""=>""paving_stones""",Il-Birgu,Yes,Others
285,,"1346922245",,,,,,,,,,,,,,,,,,,,,,,"""highway""=>""pedestrian""",Il-Birgu,Yes,Others
287,,"1350717296",Garden Belvedere,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Others
288,,"1350717298",,,,,,,,,,,,,,,,,,,,,,,"""highway""=>""pedestrian""",Il-Birgu,Yes,Others
291,,"1350849804",,,,,,,,,,,,,,,,,,,,,,,"""highway""=>""pedestrian""",Il-Birgu,Yes,Others
292,,"1350849806",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
293,,"1365671660",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Education
294,,"1365671661",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation
295,,"1365671662",,,,,,,,yes,,,,,,,,,,,,kiosk,,,,Il-Birgu,Yes,Recreation
296,,"1365671664",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Education
297,,"1365671666",,,,,,,,,,,,,,,,,,,,,,,"""highway""=>""pedestrian""",Il-Birgu,Yes,Recreation
298,,"1365671667",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation
299,,"1365671668",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation
300,,"1365671669",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation
301,,"1365671671",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Recreation
302,,"1365671672",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Recreation
310,,"1365700994",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Birgu,Yes,Others
311,,"1365700996",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Commuting to work
312,,"1365701004",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
313,,"1365701005",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
314,,"1365701006",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
315,,"1365701007",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
330,,"1366086706",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Birgu,Yes,Others
350,,"1366171220",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Visiting Someone
351,,"1366171221",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Others
352,,"1366171222",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Birgu,Yes,Visiting Someone
367,,"1366365557",,,,,,,,roof,,,,,,,,,,,,,,,"""layer""=>""1""",Il-Birgu,Yes,Others
368,,"1366365559",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Birgu,Yes,Others
369,,"1366365568",,,,parking,,,,,,,,,,,,,,,,,,,"""motor_vehicle""=>""delivery"",""parking""=>""street_side""",Il-Birgu,Yes,Others
370,,"1366365569",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
372,,"1366465968",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Visiting Someone
373,,"1366465969",,,,,,,,,,,,,,park,,,,,,,,,,Il-Birgu,Yes,Visiting Someone
415,,"1366519804",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
438,,"1366525905",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Recreation
439,,"1366525908",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Recreation
440,,"1366537355",,,,,,,,residential,,,,,,,,,,,,,,,"""building:levels""=>""3""",Il-Birgu,Yes,Recreation
443,,"1366693575",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
444,,"1366693576",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
445,,"1366693577",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others
455,,"1366693603",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Recreation
479,,"1366747448",,,,,,,,church,,,,,,,,,,,,,,,"""height""=>""9"",""source:height""=>""estimated""",Il-Birgu,Yes,Recreation
501,,"1367176436",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation
502,,"1367176437",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation
503,,"1367176438",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation
504,,"1367176439",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation
577,,"1367519317",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
578,,"1416714700",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Recreation
579,,"1416714701",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Recreation
580,,"1416714702",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
581,,"1416714703",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation
582,,"1416714704",,,,,,,,,,,,,,,,,scrub,,,,,,,Il-Birgu,Yes,Others
583,,"1416714706",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
584,,"1436970334",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation
585,,"1441588648",,,,parking_space,,,,,,,,,,,,,,,,,,,"""capacity""=>""9""",Il-Birgu,Yes,Recreation
586,,"1441588649",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
587,,"1441588650",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
588,,"1441588651",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
589,,"1441588655",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
590,,"1441588656",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
591,,"1441588657",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
592,,"1441588658",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
593,,"1446232426",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Others
594,,"1446232427",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation
595,,"1446232428",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Others
596,,"1446232430",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
597,,"1446232431",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others
598,,"1466682611",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Others
599,,"1466682612",,,,,,,,,,,,,grass,,,,,,,,,,,Il-Birgu,Yes,Recreation
605,"5659641",,,multipolygon,,,,,,construction,,,,,,,,,,,,,,,"""addr:housenumber""=>""1"",""addr:street""=>""Triq Rodolfu""",Tas-Sliema,Yes,Others
607,"6697556",,,multipolygon,,,,,,school,,,,,,,,,,,,,,,,Tas-Sliema,Yes,Others
609,"12639776",,,multipolygon,,,,,,apartments,,,,,,,,,,,,,,,,Tas-Sliema,Yes,Others
610,"12639777",,,multipolygon,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""10""",Tas-Sliema,Yes,Others
611,"12639778",,,multipolygon,,,,,,apartments,,,,,,,,,,,,,,,"""building:levels""=>""10""",Tas-Sliema,Yes,Others
613,"16013566",,,multipolygon,,,,,,residential,,,,,,,,,,,,,,,,Tas-Sliema,Yes,Others
615,,"24361030",Independence Garden,,,,,,,,,,,,,park,,,,,,,,,,Tas-Sliema,Yes,Others
616,,"29495388",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,,Tas-Sliema,Yes,Others
617,,"32594558",St Patrick's Salesian School,,,school,,,,school,,,,,,,,,,,,,,,,Tas-Sliema,Yes,Others
618,,"32594559",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""private"",""parking""=>""surface""",Tas-Sliema,Yes,Others
619,,"32594868",Stella Maris Sliema Parish Church,,,place_of_worship,,,,church,,,heritage,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""heritage""=>""2"",""name:en""=>""Stella Maris Parish Church"",""name:mt""=>""Knisja tal-Verġni Marija Kewkba Tal-Baħar"",""ref:nicpmi""=>""00019"",""religion""=>""christian"",""wikidata""=>""Q7607088"",""wikimedia_commons""=>""Category:Stella Maris Church (Sliema)"",""wikipedia""=>""en:Stella Maris Church, Sliema""",Tas-Sliema,Yes,Others
620,,"33425525",AX The Palace Hotel,,,,,,,yes,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:postcode""=>""SLM 1542"",""addr:street""=>""High Street"",""fax""=>""+356 2262 1000"",""phone""=>""+356 2133 3444"",""stars""=>""5"",""toilets:wheelchair""=>""yes"",""wheelchair""=>""yes""",Tas-Sliema,Yes,Others
621,,"33425527",AX The Victoria Hotel,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:postcode""=>""SLM 1807"",""addr:street""=>""Gorg Borg Olivier Street"",""email""=>""thevictoria@axhotelsmalta.com"",""fax""=>""+356 21 334 771"",""internet_access""=>""wlan"",""internet_access:fee""=>""no"",""operator""=>""AX Group"",""phone""=>""+356 21 334 711"",""stars""=>""4"",""website""=>""https://victoriahotel.com/"",""wheelchair""=>""yes""",Tas-Sliema,Yes,Others
623,,"33426681",Saint James Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:postcode""=>""SLM 1807"",""addr:street""=>""George Borg Olivier Street"",""check_date""=>""2024-05-22"",""emergency""=>""yes"",""healthcare""=>""hospital"",""healthcare:speciality""=>""surgery;radiology;dentistry;ophthalmology"",""internet_access""=>""wlan"",""internet_access:fee""=>""no"",""opening_hours""=>""24/7"",""operator""=>""Saint James Hospital Group"",""operator:type""=>""private"",""payment:cash""=>""yes"",""payment:credit_cards""=>""yes"",""payment:debit_cards""=>""yes"",""phone""=>""+356 2329 f1000"",""website""=>""https://stjameshospital.com/sliema/"",""wheelchair""=>""yes"",""wikidata""=>""Q7593482"",""wikipedia""=>""en:Saint James Capua Hospital""",Tas-Sliema,Yes,Others
624,,"33426682",AX Palazzo Capua,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:postcode""=>""SLM 1807"",""addr:street""=>""Gorg Borg Olivier Street"",""email""=>""palazzocapua@axhotelsmalta.com"",""fax""=>""+356 2133 4771"",""internet_access""=>""wlan"",""internet_access:fee""=>""no"",""operator""=>""AX Group"",""phone""=>""+356 2133 4711"",""stars""=>""5"",""website""=>""https://palazzocapuamalta.com/"",""wheelchair""=>""limited""",Tas-Sliema,Yes,Others
627,,"136573384",,,,,,,,,,,,,,,,,water,,,,,,"""water""=>""basin""",Tas-Sliema,Yes,Recreation
628,,"136573391",,,,shelter,,,,,,,,,,,,,,,,,,,"""image""=>""https://photos.app.goo.gl/x67G7DAoCXuvNg7o9""",Tas-Sliema,Yes,Recreation
